location_name,date,ili,pred_hosp,true_hosp,scale_factor,population,prelim_hosp,total_hosp
Alabama,2001-09-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-09-15,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-09-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-09-29,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-10-06,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-10-13,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-10-20,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-10-27,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-11-03,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-11-10,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-11-17,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-11-24,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-12-01,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-12-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-12-15,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-12-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-12-29,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-01-05,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-01-12,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-01-19,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-01-26,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-02-02,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-02-09,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-02-16,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-02-23,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-03-02,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-03-09,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-03-16,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-03-23,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-03-30,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-04-06,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-04-13,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-04-20,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-04-27,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-05-04,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-05-11,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-05-18,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-05-25,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-06-01,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-06-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-06-15,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-06-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-06-29,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-07-06,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-07-13,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-07-20,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-07-27,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-08-03,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-08-10,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-08-17,NA,NA,NA,1,5039877,NA,NA
Alabama,2002-08-24,NA,NA,NA,1,5039877,NA,NA
