location,n_forecasts,actual_mean,actual_std,model_median_mean,mean_bias_applied,date_range
Massachusetts,5,147.4,70.86494196709683,242.6536790977981,0.0,2026-01-17 to 2026-02-14
Michigan,9,588.0,337.0984030418022,561.657574150709,0.0,2025-12-06 to 2026-01-31
Michigan,5,362.2,98.39390225008864,529.5099343440335,0.0,2026-01-10 to 2026-02-07
Michigan,5,326.2,46.24456724848877,410.0031139335334,0.0,2026-01-17 to 2026-02-14
Minnesota,9,515.0,305.9219217745309,439.68651852870784,0.0,2025-12-06 to 2026-01-31
Minnesota,5,266.2,90.0342157182479,338.1554558784013,0.0,2026-01-10 to 2026-02-07
Minnesota,5,223.4,53.570887616316384,238.63774951338664,0.0,2026-01-17 to 2026-02-14
Mississippi,9,153.55555555555554,51.84402057263501,178.53738094643137,0.0,2025-12-06 to 2026-01-31
Mississippi,5,159.8,38.03366929445541,201.8208451674209,0.0,2026-01-10 to 2026-02-07
Mississippi,5,177.6,46.6158771235724,183.61830248836847,0.0,2026-01-17 to 2026-02-14
Missouri,9,483.55555555555554,244.5663332472904,520.6093973624364,0.0,2025-12-06 to 2026-01-31
Missouri,5,436.6,51.35601230625291,561.4345711986141,0.0,2026-01-10 to 2026-02-07
Missouri,5,410.8,56.32193178505155,501.3606833310124,0.0,2026-01-17 to 2026-02-14
Montana,9,82.11111111111111,39.48964546264542,88.0002250697619,0.0,2025-12-06 to 2026-01-31
Montana,5,73.8,7.386474125047755,73.26589480227922,0.0,2026-01-10 to 2026-02-07
Montana,5,66.8,15.866946776238962,61.75518365726604,0.0,2026-01-17 to 2026-02-14
Nebraska,9,128.88888888888889,48.90454294835659,115.59710401504964,0.0,2025-12-06 to 2026-01-31
Nebraska,5,135.6,7.939773296511683,134.191898107103,0.0,2026-01-10 to 2026-02-07
Nebraska,5,136.0,8.438009243891594,125.5039960575274,0.0,2026-01-17 to 2026-02-14
Nevada,9,147.0,71.15554167534044,145.37084788087424,0.0,2025-12-06 to 2026-01-31
Nevada,5,112.4,11.056219968868204,140.25793089074682,0.0,2026-01-10 to 2026-02-07
Nevada,5,101.2,17.565876010037186,116.06978428322093,0.0,2026-01-17 to 2026-02-14
